name,url
中华人民共和国文化和旅游部2022年文化和旅游发展统计公报 , https://www.gov.cn/lianbo/bumen/202307/content_6891772.htm
2023年国内旅游数据情况 , https://www.gov.cn/lianbo/bumen/202402/content_6931178.htm
《2023年中国旅游经济运行分析与2024年发展预测》：2024年旅游市场主要指标或超历史最高水平 , https://www.mct.gov.cn/whzx/zsdw/zglyyjy/202402/t20240205_951187.html
《中国国内旅游发展报告（2023-2024）》：国内旅游市场强势回暖，活力再现（环球旅讯） , https://www.traveldaily.cn/article/179832
《世界旅游经济趋势报告（2023）》：2023年全球旅游总人次将达到107.8亿人次（环球旅讯） , https://www.traveldaily.cn/article/173504
马蜂窝2023年旅游大数据报告 , https://zhuanlan.zhihu.com/p/671796452
重返增长：中国旅游市场的前瞻思考 , https://www.mckinsey.com.cn/%e9%87%8d%e8%bf%94%e5%a2%9e%e9%95%bf%ef%bc%9a%e4%b8%ad%e5%9b%bd%e6%97%85%e6%b8%b8%e5%b8%82%e5%9c%ba%e7%9a%84%e5%89%8d%e7%9e%bb%e6%80%9d%e8%80%83/
28省市发布2023年旅游“成绩单”及2024年旅游发展目标 , https://new.qq.com/rain/a/20240210A04QWE00
文化和旅游部关于印发《国内旅游提升计划（2023—2025年）》的通知 , https://www.gov.cn/zhengce/zhengceku/202311/content_6914996.htm
戴斌 | 繁荣开始了！——2023年旅游经济回顾与2024年展望 , https://www.ctaweb.org.cn/cta/ztyj/202401/09f2de14091341dcabeed9f825d5addd.shtml
国务院关于印发“十四五”旅游业发展规划的通知 , https://www.gov.cn/zhengce/content/2022-01/20/content_5669468.htm
国务院办公厅印发《关于释放旅游消费潜力推动旅游业高质量发展的若干措施》的通知 , https://www.gov.cn/zhengce/content/202309/content_6907051.htm
